 ,person,bicycle,car,motorcycle,airplane,bus,train,truck,boat,traffic light,fire hydrant,stop sign,parking meter,bench,bird,cat,dog,horse,sheep,cow,elephant,bear,zebra,giraffe,backpack,umbrella,handbag,tie,suitcase,frisbee,skis,snowboard,sports ball,kite,baseball bat,baseball glove,skateboard,surfboard,tennis racket,bottle,wine glass,cup,fork,knife,spoon,bowl,banana,apple,sandwich,orange,broccoli,carrot,hot dog,pizza,donut,cake,chair,couch,potted plant,bed,dining table,toilet,tv,laptop,mouse,remote,keyboard,cell phone,microwave,oven,toaster,sink,refrigerator,book,clock,vase,scissors,teddy bear,hair drier,toothbrush,end node
fire hydrant,0.1897,0.0285,0.2088,0.0112,0.0014,0.023,0.0036,0.0742,0.0016,0.0684,0.0,0.0326,0.014,0.0222,0.0033,0.0014,0.0134,0.0033,0.0003,0.0005,0.0003,0.0,0.0,0.0,0.0257,0.0134,0.0367,0.0022,0.0033,0.0011,0.0,0.0003,0.003,0.0008,0.0019,0.0008,0.0088,0.0008,0.0005,0.0036,0.0008,0.0041,0.0,0.0,0.0,0.0014,0.0003,0.0003,0.0008,0.0003,0.0,0.0,0.0005,0.0005,0.0003,0.0003,0.0096,0.0008,0.0167,0.0003,0.003,0.0003,0.0019,0.0,0.0,0.0,0.0,0.0074,0.0003,0.0,0.0,0.0003,0.0,0.0014,0.0074,0.0008,0.0,0.0014,0.0,0.0,0.1346
stop sign,0.1778,0.0344,0.2135,0.0223,0.0014,0.0341,0.0107,0.0815,0.0017,0.0462,0.0327,0.0,0.008,0.0107,0.0039,0.0008,0.0044,0.0058,0.0011,0.0014,0.0014,0.0,0.0006,0.0006,0.0239,0.0116,0.0333,0.0028,0.0047,0.0019,0.0019,0.0011,0.0017,0.0017,0.0011,0.0011,0.0066,0.0011,0.0014,0.0039,0.0006,0.0041,0.0008,0.0014,0.0003,0.0017,0.0008,0.0,0.0011,0.0003,0.0,0.0003,0.0,0.0006,0.0003,0.0011,0.0072,0.0008,0.0107,0.0011,0.003,0.0003,0.0008,0.0003,0.0,0.0003,0.0003,0.0061,0.0,0.0003,0.0,0.0,0.0008,0.0014,0.0069,0.0006,0.0006,0.0008,0.0,0.0,0.1502
parking meter,0.1925,0.0453,0.279,0.0188,0.0012,0.0206,0.0029,0.0771,0.0018,0.0547,0.03,0.0171,0.0,0.0188,0.0018,0.0018,0.0112,0.0029,0.0012,0.0,0.0,0.0,0.0,0.0,0.0241,0.0112,0.0441,0.0041,0.0047,0.0024,0.0012,0.0,0.0,0.0006,0.0,0.0,0.0041,0.0,0.0,0.0018,0.0006,0.0077,0.0012,0.0,0.0,0.0,0.0006,0.0,0.0,0.0,0.0,0.0,0.0012,0.0018,0.0006,0.0006,0.0088,0.0006,0.0141,0.0,0.0077,0.0018,0.0006,0.0012,0.0,0.0,0.0006,0.0077,0.0006,0.0,0.0,0.0,0.0,0.0018,0.0053,0.0012,0.0,0.0,0.0,0.0,0.0571
bench,0.2605,0.0214,0.0517,0.0075,0.0015,0.0138,0.0148,0.0149,0.0128,0.0116,0.0051,0.0025,0.002,0.0,0.0125,0.009,0.0163,0.0039,0.0018,0.0024,0.0071,0.0008,0.0006,0.0013,0.0361,0.0233,0.0502,0.0093,0.0092,0.0086,0.0041,0.002,0.0272,0.0047,0.0273,0.024,0.0204,0.002,0.0181,0.0195,0.0019,0.0157,0.0044,0.003,0.0036,0.0072,0.0018,0.0011,0.0032,0.001,0.0003,0.0004,0.002,0.0033,0.0013,0.0019,0.0436,0.0037,0.0209,0.0017,0.027,0.0006,0.0025,0.0042,0.0004,0.0005,0.0004,0.0174,0.0004,0.0005,0.0,0.0015,0.0008,0.0106,0.0115,0.0032,0.0004,0.0034,0.0001,0.0003,0.0306
bird,0.1505,0.0119,0.0345,0.0047,0.0047,0.0078,0.0042,0.0159,0.0447,0.0102,0.0023,0.0027,0.0006,0.0373,0.0,0.0138,0.0127,0.0087,0.008,0.0142,0.0138,0.004,0.0186,0.0263,0.0121,0.0144,0.021,0.0034,0.0023,0.003,0.0006,0.0,0.0017,0.0081,0.0004,0.0004,0.004,0.0106,0.0002,0.0112,0.0023,0.0136,0.0025,0.0025,0.003,0.0108,0.0032,0.0091,0.0002,0.0023,0.0006,0.0008,0.0009,0.0013,0.0006,0.0032,0.0301,0.0066,0.014,0.004,0.0174,0.0009,0.0066,0.0025,0.0011,0.0019,0.0019,0.0045,0.0015,0.0038,0.0002,0.0036,0.0027,0.0112,0.0206,0.0057,0.0019,0.0023,0.0,0.0011,0.2518
cat,0.0813,0.0083,0.0192,0.0045,0.0004,0.0004,0.0004,0.0019,0.0006,0.0004,0.0006,0.0004,0.0004,0.0167,0.0086,0.0,0.0244,0.0007,0.0015,0.0005,0.0004,0.0004,0.0004,0.0001,0.0106,0.0068,0.0147,0.0053,0.0258,0.0001,0.0001,0.0,0.0021,0.0002,0.0002,0.0004,0.0004,0.0002,0.0005,0.0352,0.0038,0.0311,0.0028,0.0043,0.0042,0.0289,0.0046,0.0034,0.0016,0.0026,0.0006,0.0021,0.0,0.0015,0.0016,0.002,0.0681,0.0563,0.0278,0.0636,0.0261,0.018,0.0472,0.0461,0.0201,0.0238,0.027,0.0095,0.0043,0.0042,0.0004,0.0218,0.0107,0.0604,0.0074,0.0121,0.0036,0.0106,0.0008,0.0049,0.0553
dog,0.1979,0.0135,0.0464,0.0104,0.0006,0.0046,0.0016,0.0218,0.0149,0.0056,0.0047,0.0015,0.0018,0.0248,0.0065,0.0201,0.0,0.0105,0.0112,0.0067,0.0008,0.0006,0.0005,0.0001,0.021,0.0092,0.0252,0.006,0.0078,0.0503,0.0049,0.0008,0.008,0.0059,0.001,0.0011,0.0076,0.0101,0.0014,0.0219,0.0024,0.0193,0.0025,0.0035,0.0032,0.0162,0.0021,0.0022,0.001,0.0029,0.0004,0.0024,0.0011,0.0027,0.0021,0.0064,0.0514,0.045,0.018,0.0343,0.0215,0.0023,0.0166,0.012,0.0033,0.0122,0.0054,0.0087,0.0026,0.0052,0.0002,0.0053,0.0054,0.0272,0.0068,0.0076,0.001,0.0096,0.001,0.0017,0.0361
horse,0.3957,0.0156,0.0755,0.0049,0.0008,0.015,0.0053,0.042,0.0075,0.0162,0.0024,0.0041,0.001,0.0122,0.0091,0.0012,0.0215,0.0,0.011,0.025,0.0018,0.0,0.0033,0.0012,0.0181,0.0152,0.026,0.0264,0.002,0.0002,0.0016,0.0002,0.003,0.0002,0.0,0.0002,0.0002,0.0002,0.0002,0.0073,0.0008,0.0045,0.0,0.001,0.0012,0.0033,0.001,0.0006,0.0004,0.0006,0.0004,0.001,0.0,0.0002,0.0008,0.0039,0.0207,0.0022,0.0146,0.0012,0.0065,0.0004,0.0032,0.0004,0.0004,0.0004,0.0004,0.0073,0.0002,0.001,0.0002,0.0014,0.0006,0.0049,0.0063,0.0033,0.0002,0.0016,0.0,0.0004,0.1297
sheep,0.1781,0.0048,0.0416,0.0068,0.001,0.0082,0.0024,0.0402,0.0048,0.0015,0.0005,0.0019,0.001,0.0136,0.0203,0.0063,0.0561,0.0271,0.0,0.0503,0.0,0.0005,0.0034,0.0005,0.0121,0.0034,0.0169,0.0082,0.0024,0.0,0.0,0.0,0.0005,0.0005,0.0,0.0,0.0,0.0005,0.0,0.0077,0.001,0.0044,0.0,0.0015,0.0015,0.0044,0.0005,0.0005,0.0005,0.0,0.0,0.001,0.0,0.0,0.0005,0.0034,0.0131,0.0015,0.0039,0.001,0.0053,0.0,0.0015,0.0015,0.0005,0.0,0.0005,0.0068,0.0,0.0,0.0,0.0005,0.0005,0.0015,0.001,0.0015,0.0044,0.0034,0.0,0.0,0.41
cow,0.2139,0.0195,0.0511,0.032,0.0007,0.0094,0.0031,0.0355,0.0157,0.0031,0.0007,0.0017,0.0,0.0132,0.0261,0.0014,0.024,0.0442,0.0362,0.0,0.0035,0.0003,0.0136,0.008,0.0111,0.0101,0.0157,0.008,0.0024,0.0007,0.0,0.0,0.0007,0.0007,0.0,0.0003,0.0,0.0003,0.0,0.0059,0.0,0.0031,0.0,0.0003,0.0,0.0045,0.0028,0.0017,0.0,0.0017,0.0,0.0,0.0,0.0,0.0003,0.0003,0.0104,0.0003,0.0038,0.0014,0.0049,0.0003,0.0028,0.0017,0.0,0.0,0.0003,0.0045,0.0,0.0003,0.0,0.0003,0.001,0.001,0.0017,0.0003,0.0,0.0017,0.0003,0.0,0.3346
elephant,0.2897,0.0084,0.0372,0.0127,0.0003,0.0054,0.0033,0.0184,0.005,0.0037,0.0003,0.0017,0.0,0.0375,0.0244,0.001,0.0027,0.003,0.0,0.0033,0.0,0.0013,0.0117,0.008,0.0234,0.0177,0.0328,0.0044,0.001,0.0,0.0,0.0,0.0104,0.0,0.0003,0.0,0.0,0.0,0.0,0.005,0.0,0.002,0.0003,0.001,0.0003,0.003,0.003,0.002,0.0,0.0013,0.0003,0.002,0.0,0.0,0.0,0.0003,0.0164,0.0013,0.0047,0.0007,0.004,0.0007,0.0017,0.0,0.0,0.0003,0.0,0.0047,0.0007,0.0003,0.0,0.0007,0.001,0.003,0.003,0.001,0.0,0.001,0.0,0.0,0.3647
bear,0.0739,0.0009,0.0074,0.0009,0.0,0.0028,0.0,0.0065,0.0018,0.0,0.0,0.0,0.0,0.0111,0.0194,0.0028,0.0055,0.0,0.0009,0.0009,0.0037,0.0,0.0028,0.0028,0.0074,0.0018,0.0055,0.0009,0.0009,0.0028,0.0,0.0,0.0148,0.0,0.0,0.0,0.0009,0.0,0.0,0.0046,0.0009,0.0037,0.0009,0.0009,0.0,0.0046,0.0009,0.0018,0.0,0.0009,0.0,0.0129,0.0,0.0,0.0,0.0037,0.0139,0.0037,0.0046,0.0,0.0055,0.0,0.0018,0.0,0.0009,0.0009,0.0009,0.0037,0.0009,0.0,0.0,0.0,0.0018,0.0083,0.0028,0.0028,0.0,0.0148,0.0,0.0,0.7172
zebra,0.0515,0.001,0.0229,0.0,0.0,0.0019,0.0005,0.0105,0.0,0.0,0.0,0.001,0.0,0.0043,0.0467,0.0014,0.0024,0.0081,0.0033,0.0186,0.0167,0.0014,0.0,0.0939,0.0014,0.0038,0.0043,0.0024,0.001,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.0005,0.0,0.0005,0.0,0.0014,0.0,0.0,0.0,0.0033,0.0,0.0,0.0,0.0,0.0005,0.0,0.0,0.0,0.0,0.001,0.0029,0.0005,0.0038,0.0,0.0014,0.0,0.0,0.0,0.0,0.0,0.0,0.001,0.0,0.0,0.0,0.0,0.0,0.0005,0.0,0.0005,0.0,0.0,0.0,0.0,0.6829
giraffe,0.153,0.0003,0.0171,0.0,0.0003,0.0028,0.0,0.0087,0.0028,0.0,0.0,0.0007,0.0,0.007,0.0486,0.0003,0.0003,0.0021,0.0003,0.008,0.0084,0.001,0.0688,0.0,0.0098,0.0063,0.0206,0.0007,0.0003,0.0,0.0,0.0,0.0003,0.0,0.0,0.0,0.0,0.0003,0.0,0.0028,0.0,0.0038,0.0,0.0,0.0,0.0031,0.0,0.0,0.0,0.0003,0.0,0.0038,0.0,0.0,0.0,0.0,0.0021,0.0,0.0038,0.0003,0.0017,0.0,0.0003,0.001,0.0003,0.0,0.0,0.0038,0.0,0.0,0.0,0.0003,0.0,0.0,0.0003,0.0,0.0,0.0007,0.0,0.0,0.6018
backpack,0.2539,0.032,0.0521,0.0168,0.0035,0.0241,0.0122,0.0217,0.0058,0.0227,0.0047,0.0044,0.0021,0.0287,0.0032,0.0045,0.0109,0.0046,0.0013,0.0016,0.0035,0.0004,0.0002,0.0014,0.0,0.0255,0.0849,0.0092,0.035,0.0064,0.0328,0.0094,0.0077,0.0083,0.0033,0.0027,0.0159,0.0041,0.0066,0.0211,0.0023,0.0137,0.002,0.0024,0.0021,0.0048,0.0025,0.0016,0.0015,0.0016,0.0002,0.0005,0.0013,0.0019,0.001,0.0014,0.0352,0.0084,0.009,0.0074,0.0146,0.0006,0.0105,0.0112,0.0031,0.0057,0.0027,0.0242,0.0009,0.0017,0.0002,0.0022,0.0024,0.0138,0.0099,0.0028,0.0007,0.0025,0.0001,0.0004,0.0001
umbrella,0.2865,0.0258,0.0646,0.016,0.0009,0.0143,0.0032,0.0227,0.0216,0.019,0.0041,0.0035,0.0016,0.0305,0.0063,0.0048,0.0079,0.0064,0.0006,0.0024,0.0044,0.0002,0.0007,0.0015,0.042,0.0,0.095,0.0109,0.0071,0.0049,0.0007,0.0002,0.0084,0.0074,0.0015,0.0012,0.0046,0.0069,0.0038,0.0175,0.0044,0.015,0.0029,0.0033,0.0032,0.0066,0.0053,0.0021,0.0025,0.0028,0.0006,0.0015,0.0024,0.0017,0.0008,0.0014,0.0726,0.0023,0.0194,0.0025,0.0332,0.0006,0.0022,0.0018,0.0007,0.0005,0.0005,0.014,0.0007,0.0007,0.0001,0.0007,0.0009,0.0071,0.0068,0.0023,0.0005,0.0023,0.0,0.0004,0.0091
handbag,0.2359,0.0247,0.0574,0.0169,0.0036,0.0256,0.0131,0.0236,0.0045,0.0253,0.0051,0.0046,0.0028,0.03,0.0042,0.0047,0.0099,0.005,0.0013,0.0017,0.0037,0.0002,0.0003,0.0022,0.0638,0.0433,0.0,0.0162,0.0298,0.0031,0.001,0.0005,0.0037,0.0061,0.0014,0.0009,0.0056,0.0024,0.0032,0.0242,0.0077,0.0208,0.0052,0.0053,0.0048,0.0099,0.004,0.0031,0.0029,0.0031,0.0009,0.0014,0.0026,0.0036,0.0024,0.0034,0.0377,0.0086,0.0132,0.006,0.0244,0.0016,0.0096,0.0083,0.0026,0.0056,0.0025,0.0345,0.002,0.0028,0.0002,0.0051,0.0036,0.0155,0.0124,0.0044,0.001,0.0038,0.0004,0.0012,0.0002
tie,0.3572,0.0081,0.0293,0.0065,0.0041,0.0118,0.0065,0.0126,0.0014,0.008,0.0008,0.001,0.0007,0.0145,0.0018,0.0044,0.0061,0.0132,0.0017,0.0023,0.0013,0.0001,0.0005,0.0002,0.018,0.0129,0.0419,0.0,0.0112,0.0006,0.0005,0.0001,0.0054,0.0004,0.003,0.0026,0.002,0.0004,0.008,0.0228,0.0203,0.0345,0.0083,0.0186,0.007,0.0117,0.0014,0.0014,0.0014,0.0007,0.0005,0.0013,0.0012,0.0018,0.001,0.0213,0.0591,0.0118,0.015,0.0047,0.0402,0.001,0.0107,0.0087,0.0015,0.003,0.0025,0.0265,0.0004,0.0016,0.0,0.0019,0.0021,0.0201,0.0104,0.0077,0.0023,0.0083,0.0001,0.0004,0.0047
suitcase,0.2209,0.0161,0.045,0.0092,0.011,0.0161,0.024,0.0218,0.004,0.0102,0.0017,0.0024,0.0011,0.0208,0.0017,0.0316,0.0116,0.0014,0.0007,0.001,0.0004,0.0001,0.0003,0.0001,0.0995,0.0122,0.1129,0.0164,0.0,0.0006,0.0006,0.0001,0.0027,0.0004,0.0004,0.0004,0.0023,0.0003,0.0013,0.0191,0.0014,0.0118,0.001,0.0011,0.0017,0.0059,0.001,0.001,0.0003,0.0009,0.0,0.0003,0.0003,0.0007,0.0009,0.0009,0.0436,0.0123,0.0113,0.0293,0.012,0.0007,0.0184,0.0096,0.0023,0.0039,0.0023,0.0168,0.0024,0.0024,0.0001,0.004,0.0027,0.0274,0.0102,0.0033,0.0006,0.0046,0.0009,0.0003,0.0268
frisbee,0.4938,0.0087,0.0743,0.0011,0.0008,0.0008,0.0,0.0239,0.0098,0.0008,0.0011,0.0019,0.0011,0.0369,0.0043,0.0003,0.1413,0.0003,0.0,0.0005,0.0,0.0008,0.0,0.0,0.0342,0.016,0.022,0.0016,0.0011,0.0,0.0,0.0,0.0106,0.0016,0.0008,0.0003,0.0003,0.0003,0.0014,0.016,0.0003,0.0084,0.0005,0.0005,0.0,0.0016,0.0008,0.0,0.0003,0.0,0.0,0.0,0.0,0.0005,0.0,0.0005,0.0358,0.0027,0.0049,0.0014,0.0122,0.0,0.0016,0.0014,0.0,0.0005,0.0003,0.0041,0.0003,0.0003,0.0003,0.0003,0.0011,0.0019,0.0035,0.0,0.0003,0.0003,0.0,0.0,0.0052
skis,0.6593,0.0009,0.016,0.0004,0.0004,0.0024,0.0006,0.0067,0.0043,0.0019,0.0,0.0015,0.0004,0.0141,0.0006,0.0002,0.011,0.0017,0.0,0.0,0.0,0.0,0.0,0.0,0.141,0.0017,0.0056,0.0011,0.0009,0.0,0.0,0.099,0.0,0.0009,0.0,0.0006,0.0002,0.0009,0.0,0.0026,0.0002,0.0017,0.0,0.0002,0.0,0.0006,0.0002,0.0,0.0,0.0002,0.0,0.0,0.0,0.0,0.0,0.0004,0.0058,0.0004,0.0011,0.0002,0.0013,0.0,0.0009,0.0002,0.0002,0.0,0.0002,0.0028,0.0002,0.0002,0.0,0.0002,0.0002,0.0002,0.0009,0.0,0.0,0.0006,0.0,0.0002,0.003
snowboard,0.6434,0.0004,0.0159,0.0004,0.0,0.0012,0.0004,0.0087,0.0024,0.002,0.0004,0.0016,0.0,0.0123,0.0,0.0,0.0032,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0742,0.0008,0.0052,0.0004,0.0004,0.0,0.1813,0.0,0.0004,0.0028,0.0,0.0008,0.0091,0.0048,0.0,0.0016,0.0,0.0008,0.0,0.0,0.0,0.0004,0.0004,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0067,0.002,0.0012,0.0008,0.0012,0.0,0.0004,0.0004,0.0,0.0016,0.0004,0.002,0.0,0.0,0.0,0.0,0.0,0.0008,0.0012,0.0,0.0,0.0004,0.0,0.0,0.0052
sports ball,0.3737,0.004,0.0266,0.001,0.0002,0.0014,0.0002,0.0065,0.0024,0.0009,0.001,0.0005,0.0,0.0391,0.0008,0.0016,0.0076,0.0014,0.0001,0.0002,0.0028,0.0015,0.0001,0.0001,0.014,0.0092,0.0089,0.005,0.0017,0.0036,0.0,0.0001,0.0,0.0022,0.0856,0.1052,0.0012,0.0015,0.1662,0.0108,0.0004,0.0056,0.0006,0.0005,0.0003,0.0016,0.0001,0.0003,0.0002,0.0001,0.0,0.0002,0.0002,0.0005,0.0004,0.0009,0.0616,0.0022,0.0032,0.0014,0.0039,0.0,0.0037,0.0015,0.0013,0.0015,0.0012,0.0041,0.0004,0.0003,0.0,0.0002,0.0004,0.0041,0.0052,0.0005,0.0005,0.0016,0.0002,0.0002,0.0005
kite,0.54,0.019,0.0671,0.0026,0.0039,0.0082,0.0008,0.0257,0.0319,0.0026,0.0008,0.0015,0.0003,0.019,0.0111,0.0005,0.0157,0.0003,0.0003,0.0005,0.0,0.0,0.0,0.0,0.0422,0.0229,0.0417,0.001,0.0008,0.0015,0.001,0.0018,0.0062,0.0,0.0,0.0003,0.0013,0.0424,0.0,0.0036,0.001,0.0023,0.0,0.0003,0.0,0.0008,0.0003,0.0008,0.0003,0.0,0.0003,0.0,0.0,0.0,0.0,0.0003,0.0262,0.0003,0.0021,0.0,0.0036,0.0,0.0003,0.0,0.0,0.0,0.0003,0.0028,0.0,0.0,0.0,0.0,0.0005,0.001,0.0021,0.0005,0.0008,0.0028,0.0,0.0,0.0322
